season,episode_name,director,writer
1,Pilot,Ken Kwapis,Ricky Gervais
1,Pilot,Ken Kwapis,Stephen Merchant
1,Pilot,Ken Kwapis,Greg Daniels
1,Diversity Day,Ken Kwapis,B.J. Novak
1,Health Care,Ken Whittingham,Paul Lieberstein
1,The Alliance,Bryan Gordon,Michael Schur
1,Basketball,Greg Daniels,Greg Daniels
1,Hot Girl,Amy Heckerling,Mindy Kaling
2,The Dundies,Greg Daniels,Mindy Kaling
2,Sexual Harassment,Ken Kwapis,B.J. Novak
2,Office Olympics,Paul Feig,Michael Schur
2,The Fire,Ken Kwapis,B.J. Novak
2,Halloween,Paul Feig,Greg Daniels
2,The Fight,Ken Kwapis,Gene Stupnitsky
2,The Fight,Ken Kwapis,Lee Eisenberg
2,The Client,Greg Daneils,Paul Lieberstein
2,Performance Review,Paul Feig,Larry Willmore
2,E-Mail Surveilance,Paul Feig,Jennifer Celotta
2,Christmas Party,Charles McDougall,Michael Schur
2,Booze Cruise,Ken Kwapis,Greg Daniels
2,The Injury,Bryan Gordon,Mindy Kaling
2,The Secret,Dennie Gordon,Lee Eisenberg
2,The Secret,Dennie Gordon,Gene Stupnitsky
2,The Carpet,Victor Nelli Jr.,Paul Lieberstein
2,Boys & Girls,Dennie Gordon,B.J. Novak
2,Valentine's Day,Greg Daniels,Michael Schur
2,Dwight's Speech,Charles McDougal,Paul Lieberstein
2,Take Your Daughter to Work Day,Victor Nelli Jr.,Mindy Kaling
2,Michael's Birthday,Ken Wittingham,Gene Stupnitsky
2,Michael's Birthday,Ken Wittingham,Lee Eisenberg
2,Drug Testing,Greg Daniels,Jennifer Celotta
2,Conflict Resolution,Greg Daniels,Greg Daniels
2,Casino Night,Greg Daniels,Steve Carell
3,Gay Witch Hunt,Ken Kwapis,Greg Daniels
3,The Convention,Ken Whittingham,Lee Eisenberg
3,The Convention,Ken Whittingham,Gene Stupnitsky
3,The Coup,Greg Daniels,Paul Lieberstein
3,Grief Counseling,Roger Nygard,Jennifer Celotta
3,Initiation,Randall Einhorn,B.J. Novak
3,Diwali,Miguel Arteta,Mindy Kaling
3,Branch Closing,Tucker Gates,Michael Schur
3,The Merger,Ken Whittingham,Brent Forrester
3,The Convict,Jeffrey Blitz,Ricky Gervais
